Wavelength (μm),LDOS Power (a.u.)
0.5268722466960352,0.9497712354335841
0.5258793969849246,0.9514779424191369
0.5248902821316614,0.9532345369085226
0.5239048811013767,0.9551378074210939
0.5229231730168644,0.9569208665437641
0.5219451371571072,0.9586155867964333
0.5209707529558182,0.9604726424873495
0.5199999999999999,0.9623397180532497
0.5190328580285183,0.9640401695682228
0.5180693069306931,0.965810810142142
0.5171093267449042,0.9677138737386727
0.5161528976572133,0.9694832744595147
0.5152,0.9711849370444828
0.5142506142506142,0.9730525494415607
0.5133047210300429,0.9749079306003652
0.5123623011015911,0.9766036669316129
0.5114233353695784,0.9783884608747907
0.5104878048780487,0.9802897475334543
0.5095556908094948,0.9820461324320913
0.5086269744835965,0.983756015752553
0.5077016373559733,0.985632961081144
0.5067796610169492,0.9874759616330163
0.5058610271903323,0.989168539051967
0.5049457177322074,0.9909674569404722
0.5040337146297411,0.9928654436203027
0.5031249999999999,0.9946095701375877
0.5022195560887822,0.9963288533568767
0.501317365269461,0.998213838194833
0.500418410041841,1.000043901621417
0.49952267303102615,1.001734885419917
0.4986301369863014,1.003547762892015
0.49774078478002376,1.0054409771048285
0.49685459940652815,1.0071737118320838
0.49597156398104264,1.0089034712753773
0.4950916617386162,1.010795137233395
0.4942148760330578,1.0126118359381118
0.4933411903358868,1.0143027938118987
0.49247058823529416,1.0161293327987428
0.4916030534351144,1.0180163564632638
0.4907385697538101,1.0197386702415026
0.48987712112346404,1.0214798755789178
0.489018691588785,1.023376803830278
0.4881632653061224,1.0251798392505218
0.48731082654249125,1.0268723350388012
0.48646135967460774,1.0287121046442933
0.48561484918793496,1.0305915785143285
0.4847712796757382,1.032304542376165
0.4839306358381502,1.0340580526604328
0.4830929024812464,1.035958768587155
0.48225806451612907,1.0377479723286702
0.48142610695802185,1.0394435600780678
0.4805970149253731,1.0412959972885811
0.4797707736389685,1.0431666261901718
0.4789473684210526,1.0448714081440393
0.4781267846944603,1.0466379676919455
0.47730900798175596,1.0485409458987542
0.4764940239043824,1.050316281982095
0.4756818181818182,1.052016500237965
0.474872376630743,1.0538809105508768
0.47406568516421294,1.0557414696023997
0.4732617297908423,1.0574393321628888
0.4724604966139955,1.0592195662624615
0.4716619718309859,1.061123236095502
0.4708661417322834,1.0628848042997558
0.4700729927007299,1.0645911704849724
0.46928251121076225,1.0664667285420468
0.46849468382764414,1.068316070429766
0.46770949720670385,1.0700083687476907
0.4669269380925823,1.0718027790463585
0.4661469933184855,1.073705530730944
0.4653696498054475,1.0754535709735682
0.4645948945615982,1.0771675755964305
0.46382271468144043,1.079053325777606
0.4630530973451327,1.0808903891262642
0.46228602981778016,1.0825785694360923
0.46152149944873205,1.0843875288668126
0.46075949367088603,1.086287720287347
0.46,1.08802261786593
0.4592430060340099,1.0897457182760044
0.45848849945235487,1.09164057520682
0.45773646801530893,1.0934643939723765
0.4569868995633188,1.0951499920849055
0.45623978201634874,1.0969737390809209
0.45549510337323174,1.098869703194457
0.4547528517110266,1.1005919946760503
0.45401301518438175,1.1023256080091335
0.4532755820249053,1.1042283568980427
0.4525405405405405,1.1060380707060675
0.45180787911494874,1.1077227101507505
0.45107758620689653,1.1095613419375252
0.45034965034965035,1.1114513947877787
0.4496240601503759,1.1131617742921969
0.4489008042895442,1.1149072692450535
0.44817987152034255,1.116816565959391
0.4474612506680919,1.1186114312826605
0.4467449306296692,1.1202968207427928
0.44603090037293547,1.1221502854486818
0.44531914893617025,1.1240327347901797
0.4446096654275093,1.1257320604072678
0.44390243902439025,1.1274907474781195
0.44319745897300156,1.1294051183159963
0.4424947145877378,1.1311845204230737
0.4417941952506596,1.1328724500712075
0.44109589041095887,1.1347405375019566
0.4403997895844292,1.136613692058133
0.4397058823529411,1.1383029921616235
0.43901415836392244,1.1400761120361167
0.43832460732984296,1.1419939532245282
0.4376372190277052,1.1437574188461366
0.4369519832985386,1.1454497552703424
0.4362688900468994,1.1473320862256768
0.4355879292403746,1.1491942657024539
0.43490909090909086,1.1508747449628578
0.43423236514522817,1.1526634548034738
0.4335577421025375,1.1545830318432386
0.43288521199586355,1.1563302426126605
0.4322147651006711,1.1580289220236126
0.43154639175257736,1.1599249361368935
0.43088008234688624,1.1617744822207898
0.4302158273381295,1.1634475271802411
0.42955361723961005,1.1652528846321732
0.4288934426229508,1.167172331719866
0.42823529411764705,1.1689031384813393
0.42757916241062305,1.1706101580053616
0.426925038245793,1.172519100214271
0.4262729124236252,1.1743543888557886
0.4256227758007118,1.176021572983567
0.4249746192893401,1.17784451780856
0.4243284338570705,1.1797618376988093
0.4236842105263158,1.181476275875565
0.42304194037392623,1.1831936827444314
0.42240161453077696,1.1851145885847438
