wavelength,net_power
0.5031249999999999,0.0318212973700142
0.5022195560887822,0.031998156948454995
0.501317365269461,0.03217097411582301
0.500418410041841,0.03233929867145459
0.49952267303102615,0.03250311203341058
0.4986301369863014,0.0326625936785202
0.49774078478002376,0.03281767411789645
0.49685459940652815,0.03296786355214816
0.49597156398104264,0.033112544011592915
0.4950916617386162,0.0332514092364566
0.4942148760330578,0.033384575405942
0.4933411903358868,0.03351224006474452
0.49247058823529416,0.033634252978940585
0.4916030534351144,0.03375005720903462
0.4907385697538101,0.03385906150920999
0.48987712112346404,0.033961045495726934
0.489018691588785,0.03405617021536696
0.4881632653061224,0.03414459521301964
0.48731082654249125,0.034226123686931974
0.48646135967460774,0.03430025775459948
0.48561484918793496,0.03436659440756295
0.4847712796757382,0.03442512206612752
0.4839306358381502,0.034476089557791655
