lambda, Y
4.1425e-07, 1.85608e-08
4.13636e-07, 1.86436e-08
4.13024e-07, 1.87266e-08
4.12414e-07, 1.88099e-08
4.11805e-07, 1.88934e-08
4.11198e-07, 1.89772e-08
4.10593e-07, 1.90612e-08
4.0999e-07, 1.91455e-08
4.09389e-07, 1.923e-08
4.08789e-07, 1.93147e-08
4.08191e-07, 1.93997e-08
4.07595e-07, 1.9485e-08
4.07e-07, 1.95705e-08
4.06408e-07, 1.96562e-08
4.05817e-07, 1.97422e-08
4.05227e-07, 1.98285e-08
4.0464e-07, 1.9915e-08
4.04054e-07, 2.00017e-08
4.0347e-07, 2.00887e-08
4.02887e-07, 2.0176e-08
4.02307e-07, 2.02635e-08
4.01727e-07, 2.03513e-08
4.0115e-07, 2.04393e-08
4.00574e-07, 2.05276e-08
4e-07, 2.06161e-08
