wavelength (microns),Re_eps,Im_eps
0.5752,1.11943,6.96813
0.574846,1.11788,6.96407
0.574492,1.11633,6.96002
0.574138,1.11479,6.95598
0.573785,1.11325,6.95194
0.573432,1.1117,6.9479
0.573079,1.11016,6.94387
0.572727,1.10862,6.93984
0.572376,1.10708,6.93582
0.572025,1.10554,6.9318
0.571674,1.10401,6.92778
0.571324,1.10247,6.92377
0.570974,1.10094,6.91976
0.570624,1.09941,6.91576
0.570275,1.09787,6.91175
0.569927,1.09634,6.90776
0.569578,1.09481,6.90376
0.569231,1.09329,6.89978
0.568883,1.09176,6.89579
0.568537,1.09024,6.89181
0.56819,1.08871,6.88783
0.567844,1.08719,6.88386
0.567498,1.08567,6.87989
0.567153,1.08415,6.87592
0.566809,1.08263,6.87196
0.566464,1.08111,6.868
0.56612,1.0796,6.86404
0.565777,1.07808,6.86009
0.565434,1.07657,6.85615
0.565091,1.07506,6.8522
0.564749,1.07355,6.84826
0.564407,1.07204,6.84432
0.564065,1.07053,6.84039
0.563724,1.06902,6.83646
0.5636,1.06847,6.83503
0.563384,1.06752,6.83254
0.563043,1.06601,6.82861
0.562704,1.06451,6.8247
0.562364,1.06301,6.82078
0.562025,1.06151,6.81687
0.561687,1.06001,6.81296
0.561349,1.05852,6.80906
0.561011,1.05702,6.80516
0.560673,1.05553,6.80126
0.560337,1.05403,6.79737
0.56,1.05254,6.79347
0.559664,1.05105,6.78959
0.559328,1.04957,6.7857
0.558993,1.04808,6.78183
0.558658,1.04659,6.77795
0.558323,1.04511,6.77408
0.557989,1.04363,6.77021
0.557656,1.04215,6.76634
0.557322,1.04067,6.76248
0.556989,1.03919,6.75862
0.556657,1.03771,6.75476
0.556325,1.03624,6.75091
0.555993,1.03477,6.74706
0.555662,1.03329,6.74322
0.555331,1.03182,6.73937
0.555,1.03035,6.73553
0.55467,1.02889,6.7317
0.55434,1.02742,6.72787
0.554011,1.02596,6.72404
0.553682,1.02449,6.72021
0.553353,1.02303,6.71639
0.553025,1.02157,6.71257
0.552697,1.02012,6.70876
0.55237,1.01866,6.70494
0.552043,1.0172,6.70113
0.551716,1.01575,6.69733
0.55139,1.0143,6.69353
0.551064,1.01285,6.68973
0.551,1.01256,6.68898
0.550738,1.0114,6.68593
0.550413,1.00995,6.68214
0.550088,1.00851,6.67835
0.55,1.00811,6.67732
0.549764,1.00706,6.67456
0.54944,1.00562,6.67078
0.549117,1.00418,6.667
0.548793,1.00274,6.66322
0.548471,1.0013,6.65945
0.548148,0.999864,6.65568
0.547826,0.998429,6.65191
0.547504,0.996996,6.64815
0.547183,0.995565,6.64439
0.546862,0.994135,6.64063
0.546542,0.992707,6.63688
0.546221,0.99128,6.63313
0.545902,0.989855,6.62938
0.545582,0.988431,6.62563
0.545263,0.987009,6.62189
0.544944,0.985589,6.61815
0.544626,0.98417,6.61442
0.544308,0.982753,6.61069
0.543991,0.981338,6.60696
0.543673,0.979924,6.60323
0.543357,0.978512,6.59951
0.54304,0.977101,6.59579
0.542724,0.975692,6.59207
0.542408,0.974285,6.58836
0.542093,0.972879,6.58465
0.541778,0.971475,6.58094
0.541463,0.970073,6.57724
0.541149,0.968672,6.57353
0.540835,0.967273,6.56984
0.540522,0.965875,6.56614
0.540209,0.964479,6.56245
0.539896,0.963085,6.55876
0.539583,0.961692,6.55507
0.539271,0.960302,6.55139
0.5391,0.959538,6.54937
0.53896,0.958912,6.54771
0.538648,0.957525,6.54404
0.538337,0.956139,6.54036
0.538027,0.954754,6.53669
0.537716,0.953372,6.53302
0.537406,0.951991,6.52936
0.537097,0.950611,6.5257
0.536788,0.949234,6.52204
0.536479,0.947858,6.51838
0.53617,0.946484,6.51473
0.535862,0.945111,6.51108
0.535554,0.94374,6.50743
0.535247,0.942371,6.50379
0.53494,0.941003,6.50015
0.534633,0.939637,6.49651
0.534327,0.938273,6.49288
0.534021,0.93691,6.48925
0.533715,0.935549,6.48562
0.53341,0.93419,6.48199
0.533105,0.932832,6.47837
0.5328,0.931476,6.47475
0.532496,0.930122,6.47113
0.532192,0.92877,6.46752
0.531888,0.927419,6.46391
0.531585,0.92607,6.4603
0.531282,0.924722,6.45669
0.530979,0.923376,6.45309
0.530677,0.922032,6.44949
0.530375,0.92069,6.44589
0.530074,0.919349,6.4423
0.529773,0.91801,6.43871
0.529472,0.916672,6.43512
0.529171,0.915337,6.43154
0.528871,0.914003,6.42796
0.528571,0.91267,6.42438
0.528272,0.91134,6.4208
0.527973,0.910011,6.41723
0.527674,0.908684,6.41366
0.5276,0.908355,6.41277
0.527376,0.907358,6.41009
0.527077,0.906034,6.40653
0.52678,0.904712,6.40296
0.526482,0.903392,6.39941
0.526185,0.902073,6.39585
0.525888,0.900756,6.3923
0.525592,0.89944,6.38875
0.525296,0.898127,6.3852
0.525,0.896815,6.38165
0.524705,0.895504,6.37811
0.524409,0.894196,6.37457
0.524115,0.892889,6.37104
0.52382,0.891583,6.36751
0.523526,0.89028,6.36398
0.523232,0.888978,6.36045
0.522939,0.887678,6.35692
0.522646,0.886379,6.3534
0.522353,0.885083,6.34988
0.52206,0.883788,6.34637
0.521768,0.882494,6.34285
0.521477,0.881203,6.33934
0.521185,0.879913,6.33584
0.520894,0.878624,6.33233
0.520603,0.877338,6.32883
0.520313,0.876053,6.32533
0.520022,0.87477,6.32183
0.519732,0.873488,6.31834
0.519443,0.872208,6.31485
0.519154,0.87093,6.31136
0.518865,0.869654,6.30788
0.518576,0.868379,6.30439
0.518288,0.867106,6.30091
0.518,0.865835,6.29744
0.517712,0.864565,6.29396
0.517425,0.863297,6.29049
0.517138,0.862031,6.28702
0.516851,0.860766,6.28356
0.5166,0.859657,6.28052
0.516565,0.859503,6.28009
0.516279,0.858242,6.27663
0.515993,0.856982,6.27318
0.515708,0.855725,6.26972
0.515423,0.854468,6.26627
0.515138,0.853214,6.26282
0.514854,0.851961,6.25937
0.51457,0.85071,6.25593
0.514286,0.849461,6.25249
0.514002,0.848213,6.24905
0.513719,0.846967,6.24562
0.513436,0.845723,6.24218
0.513154,0.84448,6.23875
0.512871,0.843239,6.23533
0.512589,0.842,6.2319
0.512308,0.840762,6.22848
0.512026,0.839526,6.22506
0.511745,0.838292,6.22164
0.511465,0.837059,6.21823
0.511184,0.835828,6.21482
0.510904,0.834599,6.21141
0.510624,0.833371,6.20801
0.510345,0.832145,6.2046
0.510066,0.830921,6.2012
0.509787,0.829699,6.19781
0.509508,0.828478,6.19441
0.50923,0.827259,6.19102
0.508952,0.826041,6.18763
0.508674,0.824825,6.18424
0.508397,0.823611,6.18086
0.50812,0.822398,6.17748
0.507843,0.821187,6.1741
0.507567,0.819978,6.17072
0.507291,0.818771,6.16735
0.507015,0.817565,6.16398
0.506739,0.816361,6.16061
0.506464,0.815158,6.15725
0.506189,0.813957,6.15388
0.5061,0.813569,6.1528
0.505914,0.812758,6.15052
0.50564,0.81156,6.14717
0.505366,0.810364,6.14381
0.505092,0.80917,6.14046
0.504819,0.807978,6.13711
0.504545,0.806787,6.13376
0.504273,0.805597,6.13042
0.504,0.80441,6.12708
0.503728,0.803224,6.12374
0.503456,0.802039,6.1204
0.503184,0.800857,6.11707
0.502913,0.799675,6.11374
0.502642,0.798496,6.11041
0.502371,0.797318,6.10709
0.5021,0.796142,6.10376
0.50183,0.794968,6.10044
0.50156,0.793795,6.09713
0.50129,0.792624,6.09381
0.501021,0.791454,6.0905
0.500752,0.790286,6.08719
0.500483,0.78912,6.08388
0.500215,0.787955,6.08058
0.5,0.787024,6.07793
0.499946,0.786792,6.07727
0.499678,0.785631,6.07397
0.499411,0.784471,6.07068
0.499143,0.783313,6.06738
0.498876,0.782156,6.06409
0.49861,0.781001,6.0608
0.498343,0.779848,6.05752
0.498077,0.778696,6.05423
0.497811,0.777546,6.05095
0.497545,0.776398,6.04767
0.49728,0.775251,6.0444
0.497015,0.774106,6.04112
0.49675,0.772962,6.03785
0.496486,0.77182,6.03459
0.496221,0.77068,6.03132
0.495957,0.769541,6.02806
0.4959,0.769293,6.02735
0.495694,0.768404,6.0248
0.49543,0.767269,6.02154
0.495167,0.766135,6.01828
0.494904,0.765002,6.01503
0.494642,0.763872,6.01178
0.49438,0.762743,6.00853
0.494118,0.761615,6.00529
0.493856,0.760489,6.00204
0.493594,0.759365,5.9988
0.493333,0.758242,5.99557
0.493072,0.757121,5.99233
0.492812,0.756002,5.9891
0.492552,0.754884,5.98587
0.492291,0.753767,5.98264
0.492032,0.752653,5.97942
0.491772,0.751539,5.97619
0.491513,0.750428,5.97297
0.491254,0.749318,5.96976
0.490995,0.748209,5.96654
0.490737,0.747103,5.96333
0.490479,0.745997,5.96012
0.490221,0.744894,5.95691
0.489963,0.743792,5.95371
0.489706,0.742691,5.95051
0.489449,0.741592,5.94731
0.489192,0.740495,5.94411
0.488936,0.739399,5.94091
0.488679,0.738305,5.93772
0.488423,0.737212,5.93453
0.488168,0.736121,5.93135
0.487912,0.735031,5.92816
0.487657,0.733943,5.92498
0.487402,0.732857,5.9218
0.487147,0.731772,5.91862
0.486893,0.730689,5.91545
0.486639,0.729607,5.91228
0.486385,0.728527,5.90911
0.486131,0.727448,5.90594
0.485878,0.726371,5.90277
0.485625,0.725295,5.89961
0.485372,0.724221,5.89645
0.48512,0.723149,5.89329
0.484867,0.722078,5.89014
0.484615,0.721008,5.88699
0.484364,0.719941,5.88384
0.484112,0.718874,5.88069
0.483861,0.717809,5.87755
0.48361,0.716746,5.8744
0.483359,0.715684,5.87126
0.483109,0.714624,5.86813
0.482859,0.713566,5.86499
0.482609,0.712508,5.86186
0.482359,0.711453,5.85873
0.48211,0.710399,5.8556
0.48186,0.709346,5.85247
0.481612,0.708295,5.84935
0.481363,0.707246,5.84623
0.481115,0.706198,5.84311
0.480866,0.705151,5.84
0.480619,0.704106,5.83688
0.480371,0.703063,5.83377
0.480124,0.702021,5.83066
0.479876,0.70098,5.82756
0.47963,0.699941,5.82446
0.479383,0.698904,5.82135
0.479137,0.697868,5.81826
0.478891,0.696833,5.81516
0.478645,0.6958,5.81207
0.478399,0.694769,5.80897
0.478154,0.693739,5.80589
0.477909,0.69271,5.8028
0.477664,0.691683,5.79971
0.477419,0.690658,5.79663
0.477175,0.689634,5.79355
0.476931,0.688611,5.79048
0.4769,0.688482,5.79009
0.476687,0.68759,5.7874
0.476444,0.686571,5.78433
0.4762,0.685553,5.78126
0.475957,0.684536,5.77819
0.475714,0.683521,5.77513
0.475472,0.682507,5.77207
0.475229,0.681495,5.769
0.474987,0.680484,5.76595
0.474745,0.679475,5.76289
0.474504,0.678467,5.75984
0.474262,0.677461,5.75679
0.474021,0.676456,5.75374
0.47378,0.675453,5.75069
0.47354,0.674451,5.74765
0.473299,0.67345,5.74461
0.473059,0.672451,5.74157
0.472819,0.671454,5.73853
0.47258,0.670458,5.7355
0.47234,0.669463,5.73247
0.472101,0.66847,5.72944
0.471862,0.667478,5.72641
0.471624,0.666488,5.72339
0.471385,0.665499,5.72036
0.471147,0.664511,5.71734
0.470909,0.663525,5.71433
0.470671,0.662541,5.71131
0.470434,0.661557,5.7083
0.470197,0.660576,5.70529
0.46996,0.659595,5.70228
0.469723,0.658617,5.69927
0.469486,0.657639,5.69627
0.46925,0.656663,5.69327
0.469014,0.655689,5.69027
0.468778,0.654715,5.68727
0.468543,0.653744,5.68428
0.468307,0.652773,5.68128
0.468072,0.651805,5.6783
0.467837,0.650837,5.67531
0.467603,0.649871,5.67232
0.467368,0.648906,5.66934
0.467134,0.647943,5.66636
0.4669,0.646981,5.66338
0.466667,0.646021,5.6604
0.466433,0.645062,5.65743
0.4662,0.644104,5.65446
0.465967,0.643148,5.65149
0.465734,0.642193,5.64852
0.465502,0.64124,5.64556
0.465269,0.640288,5.6426
0.465037,0.639337,5.63964
0.464806,0.638388,5.63668
0.464574,0.63744,5.63373
0.464343,0.636493,5.63077
0.464111,0.635548,5.62782
0.463881,0.634604,5.62487
0.46365,0.633662,5.62193
0.463419,0.632721,5.61898
0.463189,0.631782,5.61604
0.462959,0.630843,5.6131
0.46273,0.629906,5.61016
0.4625,0.628971,5.60723
0.462271,0.628037,5.6043
0.462042,0.627104,5.60137
0.461813,0.626173,5.59844
0.461584,0.625243,5.59551
0.461356,0.624314,5.59259
0.461128,0.623387,5.58967
0.4609,0.622461,5.58675
0.460672,0.621536,5.58383
0.460444,0.620613,5.58092
0.460217,0.619691,5.57801
0.45999,0.618771,5.5751
0.459763,0.617852,5.57219
0.459537,0.616934,5.56928
0.45931,0.616017,5.56638
0.4592,0.615571,5.56496
0.459084,0.615102,5.56348
0.458858,0.614188,5.56058
0.458633,0.613276,5.55768
0.458407,0.612365,5.55479
0.458182,0.611455,5.5519
0.457957,0.610546,5.54901
0.457732,0.609639,5.54612
0.457507,0.608734,5.54323
0.457283,0.607829,5.54035
0.457059,0.606926,5.53747
0.456835,0.606024,5.53459
0.456611,0.605124,5.53171
0.456388,0.604224,5.52884
0.456164,0.603327,5.52597
0.455941,0.60243,5.5231
0.455718,0.601535,5.52023
0.455496,0.600641,5.51736
0.455273,0.599748,5.5145
0.455051,0.598857,5.51164
0.454829,0.597967,5.50878
0.454608,0.597078,5.50592
0.454386,0.596191,5.50307
0.454165,0.595305,5.50022
0.453944,0.59442,5.49736
0.453723,0.593537,5.49452
0.453502,0.592654,5.49167
0.453281,0.591774,5.48883
0.453061,0.590894,5.48599
0.452841,0.590016,5.48315
0.452621,0.589139,5.48031
0.452402,0.588263,5.47747
0.452182,0.587388,5.47464
0.451963,0.586515,5.47181
0.451744,0.585643,5.46898
0.451525,0.584773,5.46616
0.451307,0.583903,5.46333
0.451089,0.583035,5.46051
0.45087,0.582169,5.45769
0.450652,0.581303,5.45487
0.450435,0.580439,5.45206
0.450217,0.579576,5.44924
0.45,0.578714,5.44643
0.45,0.578714,5.44643
0.45,0.578714,5.44643
0.45,0.578714,5.44643
0.449783,0.577854,5.44362
0.449566,0.576995,5.44081
0.449349,0.576137,5.43801
0.449133,0.57528,5.43521
0.448917,0.574425,5.43241
0.448701,0.57357,5.42961
0.448485,0.572718,5.42681
0.448269,0.571866,5.42402
0.448054,0.571016,5.42123
0.447839,0.570166,5.41844
0.447624,0.569318,5.41565
0.447409,0.568472,5.41286
0.447194,0.567626,5.41008
0.44698,0.566782,5.4073
0.446766,0.565939,5.40452
0.446552,0.565098,5.40174
0.446338,0.564257,5.39896
0.446124,0.563418,5.39619
0.445911,0.56258,5.39342
0.445698,0.561743,5.39065
0.445485,0.560908,5.38789
0.445272,0.560073,5.38512
0.44506,0.55924,5.38236
0.444847,0.558408,5.3796
0.444635,0.557578,5.37684
0.444423,0.556748,5.37408
0.444212,0.55592,5.37133
0.444,0.555093,5.36858
0.443789,0.554267,5.36583
0.443578,0.553443,5.36308
