wavelength (microns),Re_eps,Im_eps
0.001343,0.9993,0.000153746
0.001312,0.99934,0.000141153
0.001281,0.99936,0.000129359
0.00125,0.9994,0.000118364
0.00122,0.99942,0.000108369
0.001191,0.99946,9.93732e-05
0.001162,0.99948,9.07764e-05
0.001134,0.9995,8.31792e-05
0.001108,0.99952,7.61817e-05
0.001081,0.99956,6.95847e-05
0.001055,0.99958,6.37866e-05
0.00103,0.9996,5.83883e-05
0.001005,0.99962,5.33899e-05
0.0009816,0.99962,4.89907e-05
0.0009581,0.99964,4.47919e-05
0.000935,0.99966,4.07931e-05
0.0009129,0.99968,3.7394e-05
0.0008906,0.9997,3.41949e-05
0.0008694,0.9997,3.11953e-05
0.0008492,0.99972,2.8596e-05
0.0008287,0.99974,2.61966e-05
0.0008087,0.99974,2.37969e-05
0.0007897,0.99976,2.17974e-05
0.0007705,0.99978,1.98778e-05
0.0007523,0.99978,1.8158e-05
0.0007345,0.9998,1.65983e-05
0.0007166,0.9998,1.51185e-05
0.0006997,0.99982,1.37988e-05
0.0006831,0.99982,1.25989e-05
0.0006665,0.99982,3.87965e-05
0.0006508,0.99984,3.55972e-05
0.0006351,0.99984,3.27974e-05
0.0006199,0.99986,2.99979e-05
