0.578008,1.13165,7.00019,,,,,,,,
0.579813,1.13948,7.02077,,,,,,,,
0.581628,1.14734,7.04146,,,,,,,,
0.583455,1.15523,7.06226,,,,,,,,
0.585294,1.16314,7.08319,,,,,,,,
0.587144,1.17107,7.10424,,,,,,,,
0.589006,1.17903,7.12542,,,,,,,,
0.59088,1.18701,7.14673,,,,,,,,
0.592766,1.19502,7.16818,,,,,,,,
0.594664,1.20305,7.18978,,,,,,,,
0.596574,1.21111,7.21153,,,,,,,,
0.598496,1.21919,7.23344,,,,,,,,
0.600431,1.2273,7.25551,,,,,,,,
0.602378,1.23543,7.27776,,,,,,,,
0.604338,1.2436,7.3002,,,,,,,,
0.606311,1.2518,7.32284,,,,,,,,
0.608297,1.26004,7.34568,,,,,,,,
0.610296,1.26832,7.36874,,,,,,,,
0.612308,1.27666,7.39203,,,,,,,,
0.614333,1.28507,7.41558,,,,,,,,
0.616372,1.29355,7.43938,,,,,,,,
0.618424,1.30213,7.46347,,,,,,,,
0.62049,1.31082,7.48784,,,,,,,,
0.62257,1.31965,7.51253,,,,,,,,
0.624664,1.32865,7.53754,,,,,,,,
0.626772,1.33785,7.56288,,,,,,,,
0.628894,1.3473,7.58857,,,,,,,,
0.631031,1.35704,7.61461,,,,,,,,
0.633182,1.36714,7.641,,,,,,,,
0.635348,1.37765,7.66772,,,,,,,,
0.637529,1.38865,7.69475,,,,,,,,
0.639724,1.4002,7.72205,,,,,,,,
0.641935,1.4124,7.74956,,,,,,,,
0.644162,1.42529,7.77718,,,,,,,,
0.646404,1.43896,7.80482,,,,,,,,
0.648661,1.45343,7.83233,,,,,,,,
0.650935,1.46873,7.85956,,,,,,,,
0.653224,1.48482,7.88634,,,,,,,,
0.655529,1.50164,7.91249,,,,,,,,
0.657851,1.51906,7.93784,,,,,,,,
0.66019,1.53692,7.96225,,,,,,,,
0.662545,1.55501,7.98563,,,,,,,,
0.664916,1.57309,8.00794,,,,,,,,
0.667305,1.59093,8.0292,,,,,,,,
0.669712,1.60831,8.04948,,,,,,,,
0.672135,1.62504,8.06893,,,,,,,,
0.674576,1.64099,8.08771,,,,,,,,
0.677035,1.65606,8.10601,,,,,,,,
0.679512,1.67022,8.12399,,,,,,,,
0.682007,1.68345,8.14185,,,,,,,,
0.684521,1.6958,8.15972,,,,,,,,
0.687053,1.70732,8.17774,,,,,,,,
0.689604,1.71808,8.196,,,,,,,,
0.692174,1.72816,8.21458,,,,,,,,
0.694763,1.73763,8.23353,,,,,,,,
0.697372,1.74656,8.25288,,,,,,,,
0.7,1.75502,8.27265,,,,,,,,
